Rank,Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,Career
54,Craig Hansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
55,Scott Elbert,,,,,,,,,,,,"$575,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$575,000"
56,Edinson Volquez,,,,,,,,,,,"$88,360.00",,"$7,500,000.00","$9,500,000.00","$9,000,000.00","$13,000,000.00",,"$370,370.00",,,,,,,,,,,,,,,,,,,,"$39,458,730"
57,Jered Weaver,,,,"$327,500.00","$385,000.00","$435,000.00","$465,000.00","$4,365,000.00","$7,365,000.00","$15,000,000.00","$16,000,000.00","$16,000,000.00","$18,000,000.00","$20,000,000.00","$3,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"$101,342,500"
58,Jason Kubel,,,"$316,000.00","$327,000.00","$387,500.00","$1,300,000.00","$2,750,000.00","$4,100,000.00","$5,250,000.00","$7,500,000.00","$7,500,000.00","$2,163,387.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$31,593,887"
59,John Danks,,,,,"$380,000.00","$400,000.00","$520,000.00","$3,450,000.00","$6,000,000.00","$8,000,000.00","$14,250,000.00","$14,250,000.00","$14,250,000.00","$14,250,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$75,750,000"
60,Jeff Mathis,,,"$316,000.00","$327,000.00",,"$415,000.00","$450,000.00","$1,300,000.00","$1,700,000.00","$1,500,000.00","$1,500,000.00","$1,500,000.00","$1,500,000.00","$1,500,000.00","$2,000,000.00","$2,000,000.00","$3,250,000.00","$1,111,111.00","$164,509.00",,,,,,,,,,,,,,,,,,,"$20,533,620"
61,Elvis Andrus,,,,,,,"$400,000.00","$418,420.00","$452,180.00","$452,180.00","$4,800,000.00","$6,475,000.00","$17,000,000.00","$15,000,000.00","$15,000,000.00","$15,000,000.00","$15,000,000.00","$5,555,556.00","$14,800,000.00","$14,184,608.00","$3,000,000.00",,,,,,,,,,,,,,,,,"$127,537,944"
62,Troy Patton,,,,,,"$390,000.00","$400,000.00",,"$414,000.00","$483,500.00","$815,000.00","$1,100,820.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$3,603,320"
63,Jonathan Broxton,,,"$316,000.00","$327,500.00","$390,000.00","$454,000.00","$1,975,000.00","$4,000,000.00","$7,000,000.00","$4,000,000.00","$4,000,000.00","$7,000,000.00","$9,000,000.00","$4,950,000.00","$3,750,000.00",,,,,,,,,,,,,,,,,,,,,,,"$47,162,500"
